"Event","City","State","Country","Full_Location","Count","Percentage"
"2022 Soil Health Conference","Max","ND","USA","Max, ND, USA",2,0.8
"2022 Soil Health Conference","Menno","SD","USA","Menno, SD, USA",2,0.8
"2022 Soil Health Conference","Milbank","SD","USA","Milbank, SD, USA",2,0.8
"2022 Soil Health Conference","Oldham","SD","USA","Oldham, SD, USA",2,0.8
"2022 Soil Health Conference","Platte","SD","USA","Platte, SD, USA",2,0.8
"2022 Soil Health Conference","Prague","10","CZ","Prague, 10, CZ",2,0.8
"2022 Soil Health Conference","Winnetka","IL","USA","Winnetka, IL, USA",2,0.8
"2022 Soil Health Conference","","LA","USA",", LA, USA",1,0.4
"2022 Soil Health Conference","","WA","USA",", WA, USA",1,0.4
"2022 Soil Health Conference","Alexandria","SD","USA","Alexandria, SD, USA",1,0.4
"2022 Soil Health Conference","Arlington","SD","USA","Arlington, SD, USA",1,0.4
"2022 Soil Health Conference","Astoria","SD","USA","Astoria, SD, USA",1,0.4
"2022 Soil Health Conference","Athens","I","GR","Athens, I, GR",1,0.4
"2022 Soil Health Conference","Beemer","NE","USA","Beemer, NE, USA",1,0.4
"2022 Soil Health Conference","Brentford","SD","USA","Brentford, SD, USA",1,0.4
"2022 Soil Health Conference","Bridgeport","NE","USA","Bridgeport, NE, USA",1,0.4
"2022 Soil Health Conference","Britton","SD","USA","Britton, SD, USA",1,0.4
"2022 Soil Health Conference","Broadus","MT","USA","Broadus, MT, USA",1,0.4
"2022 Soil Health Conference","Burke","SD","USA","Burke, SD, USA",1,0.4
"2022 Soil Health Conference","Casper","WY","USA","Casper, WY, USA",1,0.4
"2022 Soil Health Conference","Chamberlain","SD","USA","Chamberlain, SD, USA",1,0.4
"2022 Soil Health Conference","Charlotte","IA","USA","Charlotte, IA, USA",1,0.4
"2022 Soil Health Conference","Claremont","SD","USA","Claremont, SD, USA",1,0.4
"2022 Soil Health Conference","Cleveland","ND","USA","Cleveland, ND, USA",1,0.4
"2022 Soil Health Conference","Columbus","IN","USA","Columbus, IN, USA",1,0.4
"2022 Soil Health Conference","Conde","SD","USA","Conde, SD, USA",1,0.4
"2022 Soil Health Conference","De Smet","SD","USA","De Smet, SD, USA",1,0.4
"2022 Soil Health Conference","Devils Lake","ND","USA","Devils Lake, ND, USA",1,0.4
"2022 Soil Health Conference","Drumheller","AB","Canada","Drumheller, AB, Canada",1,0.4
"2022 Soil Health Conference","Duncannon","PA","USA","Duncannon, PA, USA",1,0.4
"2022 Soil Health Conference","Emery","SD","USA","Emery, SD, USA",1,0.4
"2022 Soil Health Conference","Fort Collins","CO","USA","Fort Collins, CO, USA",1,0.4
"2022 Soil Health Conference","Freeman","SD","USA","Freeman, SD, USA",1,0.4
"2022 Soil Health Conference","Garretson","SD","USA","Garretson, SD, USA",1,0.4
"2022 Soil Health Conference","Gilmore City","IA","USA","Gilmore City, IA, USA",1,0.4
"2022 Soil Health Conference","Goodwin","SD","USA","Goodwin, SD, USA",1,0.4
"2022 Soil Health Conference","Hebron","ND","USA","Hebron, ND, USA",1,0.4
"2022 Soil Health Conference","Hendricks","MN","USA","Hendricks, MN, USA",1,0.4
"2022 Soil Health Conference","Houghton","SD","USA","Houghton, SD, USA",1,0.4
"2022 Soil Health Conference","Ipswich","SD","USA","Ipswich, SD, USA",1,0.4
"2022 Soil Health Conference","Kimball","SD","USA","Kimball, SD, USA",1,0.4
"2022 Soil Health Conference","Lake Park","IA","USA","Lake Park, IA, USA",1,0.4
"2022 Soil Health Conference","Lidgerwood","ND","USA","Lidgerwood, ND, USA",1,0.4
"2022 Soil Health Conference","Little Rock","IA","USA","Little Rock, IA, USA",1,0.4
"2022 Soil Health Conference","Loveland","CO","USA","Loveland, CO, USA",1,0.4
"2022 Soil Health Conference","Malta","MT","USA","Malta, MT, USA",1,0.4
"2022 Soil Health Conference","Mellette","SD","USA","Mellette, SD, USA",1,0.4
"2022 Soil Health Conference","Miller","SD","USA","Miller, SD, USA",1,0.4
"2022 Soil Health Conference","Mission","KS","USA","Mission, KS, USA",1,0.4
"2022 Soil Health Conference","Montreal","QC","Canada","Montreal, QC, Canada",1,0.4
"2022 Soil Health Conference","Mound City","SD","USA","Mound City, SD, USA",1,0.4
"2022 Soil Health Conference","Oklahoma City","OK","USA","Oklahoma City, OK, USA",1,0.4
"2022 Soil Health Conference","Presho","SD","USA","Presho, SD, USA",1,0.4
"2022 Soil Health Conference","Saint Charles","MO","USA","Saint Charles, MO, USA",1,0.4
"2022 Soil Health Conference","Salina","KS","USA","Salina, KS, USA",1,0.4
"2022 Soil Health Conference","Spruce Grove","AB","Canada","Spruce Grove, AB, Canada",1,0.4
"2022 Soil Health Conference","St Louis","MO","USA","St Louis, MO, USA",1,0.4
"2022 Soil Health Conference","Tama","IA","USA","Tama, IA, USA",1,0.4
"2022 Soil Health Conference","Tolstoy","SD","USA","Tolstoy, SD, USA",1,0.4
"2022 Soil Health Conference","Tyndall","SD","USA","Tyndall, SD, USA",1,0.4
"2022 Soil Health Conference","Volga","SD","USA","Volga, SD, USA",1,0.4
"2022 Soil Health Conference","Washington","DC","USA","Washington, DC, USA",1,0.4
"2022 Soil Health Conference","Willmar","MN","USA","Willmar, MN, USA",1,0.4
"2023 Soil Health Conference","","","USA",", , USA",43,12.15
"2023 Soil Health Conference","","MO","USA",", MO, USA",40,11.3
"2023 Soil Health Conference","Revillo","SD","USA","Revillo, SD, USA",28,7.91
"2023 Soil Health Conference","Brookings","SD","USA","Brookings, SD, USA",23,6.5
"2023 Soil Health Conference","LaBolt","SD","USA","LaBolt, SD, USA",18,5.08
"2023 Soil Health Conference","Sioux Falls","SD","USA","Sioux Falls, SD, USA",14,3.95
"2023 Soil Health Conference","Chicago","IL","USA","Chicago, IL, USA",6,1.69
"2023 Soil Health Conference","Tyler","MN","USA","Tyler, MN, USA",5,1.41
"2023 Soil Health Conference","","NE","USA",", NE, USA",4,1.13
"2023 Soil Health Conference","Howard","SD","USA","Howard, SD, USA",4,1.13
"2023 Soil Health Conference","Arlington","SD","USA","Arlington, SD, USA",3,0.85
"2023 Soil Health Conference","Avon","SD","USA","Avon, SD, USA",3,0.85
"2023 Soil Health Conference","Baltic","SD","USA","Baltic, SD, USA",3,0.85
"2023 Soil Health Conference","Castlewood","SD","USA","Castlewood, SD, USA",3,0.85
"2023 Soil Health Conference","De Smet","SD","USA","De Smet, SD, USA",3,0.85
"2023 Soil Health Conference","Fargo","ND","USA","Fargo, ND, USA",3,0.85
"2023 Soil Health Conference","Garretson","SD","USA","Garretson, SD, USA",3,0.85
"2023 Soil Health Conference","Iroquois","SD","USA","Iroquois, SD, USA",3,0.85
"2023 Soil Health Conference","Lincoln","NE","USA","Lincoln, NE, USA",3,0.85
"2023 Soil Health Conference","Luverne","MN","USA","Luverne, MN, USA",3,0.85
"2023 Soil Health Conference","Omaha","NE","USA","Omaha, NE, USA",3,0.85
"2023 Soil Health Conference","Sisseton","SD","USA","Sisseton, SD, USA",3,0.85
"2023 Soil Health Conference","Watertown","SD","USA","Watertown, SD, USA",3,0.85
"2023 Soil Health Conference","Wessington Springs","SD","USA","Wessington Springs, SD, USA",3,0.85
"2023 Soil Health Conference","Winner","SD","USA","Winner, SD, USA",3,0.85
"2023 Soil Health Conference","Winnipeg","MB","Canada","Winnipeg, MB, Canada",3,0.85
"2023 Soil Health Conference","","MN","USA",", MN, USA",2,0.56
"2023 Soil Health Conference","","UT","USA",", UT, USA",2,0.56
"2023 Soil Health Conference","Aberdeen","SD","USA","Aberdeen, SD, USA",2,0.56
"2023 Soil Health Conference","Bingham Lake","MN","USA","Bingham Lake, MN, USA",2,0.56
"2023 Soil Health Conference","Brandon","SD","USA","Brandon, SD, USA",2,0.56
"2023 Soil Health Conference","Columbia","MO","USA","Columbia, MO, USA",2,0.56
"2023 Soil Health Conference","Denver","CO","USA","Denver, CO, USA",2,0.56
"2023 Soil Health Conference","Denver","IA","USA","Denver, IA, USA",2,0.56
"2023 Soil Health Conference","Gettysburg","SD","USA","Gettysburg, SD, USA",2,0.56
"2023 Soil Health Conference","Glen Ullin","ND","USA","Glen Ullin, ND, USA",2,0.56
"2023 Soil Health Conference","Harrisburg","AR","USA","Harrisburg, AR, USA",2,0.56
"2023 Soil Health Conference","Jamestown","ND","USA","Jamestown, ND, USA",2,0.56
"2023 Soil Health Conference","Kansas City","MO","USA","Kansas City, MO, USA",2,0.56
"2023 Soil Health Conference","Kearney","NE","USA","Kearney, NE, USA",2,0.56
"2023 Soil Health Conference","Lakeland","FL","USA","Lakeland, FL, USA",2,0.56
"2023 Soil Health Conference","Manhattan","KS","USA","Manhattan, KS, USA",2,0.56
"2023 Soil Health Conference","Parshall","ND","USA","Parshall, ND, USA",2,0.56
"2023 Soil Health Conference","Platte","SD","USA","Platte, SD, USA",2,0.56
"2023 Soil Health Conference","Richmond","MN","USA","Richmond, MN, USA",2,0.56
"2023 Soil Health Conference","Saint Paul","MN","USA","Saint Paul, MN, USA",2,0.56
"2023 Soil Health Conference","Story City","IA","USA","Story City, IA, USA",2,0.56
"2023 Soil Health Conference","Toledo","IA","USA","Toledo, IA, USA",2,0.56
"2023 Soil Health Conference","Tyndall","SD","USA","Tyndall, SD, USA",2,0.56
"2023 Soil Health Conference","Volga","SD","USA","Volga, SD, USA",2,0.56
"2023 Soil Health Conference","Wessington","SD","USA","Wessington, SD, USA",2,0.56
"2023 Soil Health Conference","West Lafayette","IN","USA","West Lafayette, IN, USA",2,0.56
"2023 Soil Health Conference","","","FJ",", , FJ",1,0.28
"2023 Soil Health Conference","","","MA",", , MA",1,0.28
"2023 Soil Health Conference","","GA","USA",", GA, USA",1,0.28
"2023 Soil Health Conference","Agar","SD","USA","Agar, SD, USA",1,0.28
"2023 Soil Health Conference","Astoria","SD","USA","Astoria, SD, USA",1,0.28
"2023 Soil Health Conference","Atlanta","GA","USA","Atlanta, GA, USA",1,0.28
"2023 Soil Health Conference","Aurora","SD","USA","Aurora, SD, USA",1,0.28
"2023 Soil Health Conference","Blackfoot","ID","USA","Blackfoot, ID, USA",1,0.28
"2023 Soil Health Conference","Boonville","IN","USA","Boonville, IN, USA",1,0.28
"2023 Soil Health Conference","Brussels","BRU","BE","Brussels, BRU, BE",1,0.28
"2023 Soil Health Conference","City of Saint Peters","MO","USA","City of Saint Peters, MO, USA",1,0.28
"2023 Soil Health Conference","Clark","SD","USA","Clark, SD, USA",1,0.28
"2023 Soil Health Conference","Clear Lake","SD","USA","Clear Lake, SD, USA",1,0.28
"2023 Soil Health Conference","Columbus","OH","USA","Columbus, OH, USA",1,0.28
"2023 Soil Health Conference","Conde","SD","USA","Conde, SD, USA",1,0.28
"2023 Soil Health Conference","Corsica","SD","USA","Corsica, SD, USA",1,0.28
"2023 Soil Health Conference","Crooks","SD","USA","Crooks, SD, USA",1,0.28
"2023 Soil Health Conference","Custer","SD","USA","Custer, SD, USA",1,0.28
"2023 Soil Health Conference","Dallas","SD","USA","Dallas, SD, USA",1,0.28
"2023 Soil Health Conference","Debrecen","HB","HU","Debrecen, HB, HU",1,0.28
"2023 Soil Health Conference","Deshler","NE","USA","Deshler, NE, USA",1,0.28
"2023 Soil Health Conference","Elkton","SD","USA","Elkton, SD, USA",1,0.28
"2023 Soil Health Conference","Emery","SD","USA","Emery, SD, USA",1,0.28
"2023 Soil Health Conference","Flandreau","SD","USA","Flandreau, SD, USA",1,0.28
"2023 Soil Health Conference","Forest Lake","MN","USA","Forest Lake, MN, USA",1,0.28
"2023 Soil Health Conference","Guelph","ON","Canada","Guelph, ON, Canada",1,0.28
"2023 Soil Health Conference","Hartford","SD","USA","Hartford, SD, USA",1,0.28
"2023 Soil Health Conference","Hickory Corners","MI","USA","Hickory Corners, MI, USA",1,0.28
"2023 Soil Health Conference","Hillsboro","ND","USA","Hillsboro, ND, USA",1,0.28
"2023 Soil Health Conference","Houghton","SD","USA","Houghton, SD, USA",1,0.28
"2023 Soil Health Conference","Huron","SD","USA","Huron, SD, USA",1,0.28
"2023 Soil Health Conference","Kadoka","SD","USA","Kadoka, SD, USA",1,0.28
"2023 Soil Health Conference","Kimball","SD","USA","Kimball, SD, USA",1,0.28
"2023 Soil Health Conference","Letcher","SD","USA","Letcher, SD, USA",1,0.28
"2023 Soil Health Conference","Lidgerwood","ND","USA","Lidgerwood, ND, USA",1,0.28
"2023 Soil Health Conference","Little Rock","AR","USA","Little Rock, AR, USA",1,0.28
"2023 Soil Health Conference","Loveland","CO","USA","Loveland, CO, USA",1,0.28
"2023 Soil Health Conference","Managua","MN","NI","Managua, MN, NI",1,0.28
"2023 Soil Health Conference","Merced","CA","USA","Merced, CA, USA",1,0.28
"2023 Soil Health Conference","Milbank","SD","USA","Milbank, SD, USA",1,0.28
"2023 Soil Health Conference","Minneapolis","MN","USA","Minneapolis, MN, USA",1,0.28
"2023 Soil Health Conference","Minneota","MN","USA","Minneota, MN, USA",1,0.28
"2023 Soil Health Conference","Mission","SD","USA","Mission, SD, USA",1,0.28
"2023 Soil Health Conference","Moorhead","MN","USA","Moorhead, MN, USA",1,0.28
"2023 Soil Health Conference","Mount Vernon","SD","USA","Mount Vernon, SD, USA",1,0.28
"2023 Soil Health Conference","Newark","OH","USA","Newark, OH, USA",1,0.28
"2023 Soil Health Conference","Ocheyedan","IA","USA","Ocheyedan, IA, USA",1,0.28
"2023 Soil Health Conference","Onida","SD","USA","Onida, SD, USA",1,0.28
"2023 Soil Health Conference","Orange City","IA","USA","Orange City, IA, USA",1,0.28
"2023 Soil Health Conference","Philadelphia","PA","USA","Philadelphia, PA, USA",1,0.28
"2023 Soil Health Conference","Pierre","SD","USA","Pierre, SD, USA",1,0.28
"2023 Soil Health Conference","Pipestone","MN","USA","Pipestone, MN, USA",1,0.28
"2023 Soil Health Conference","Prague","10","CZ","Prague, 10, CZ",1,0.28
"2023 Soil Health Conference","Presho","SD","USA","Presho, SD, USA",1,0.28
"2023 Soil Health Conference","Redfield","SD","USA","Redfield, SD, USA",1,0.28
"2023 Soil Health Conference","Roberts","WI","USA","Roberts, WI, USA",1,0.28
"2023 Soil Health Conference","Salem","OR","USA","Salem, OR, USA",1,0.28
"2023 Soil Health Conference","Sibley","IA","USA","Sibley, IA, USA",1,0.28
"2023 Soil Health Conference","Silver Spring","MD","USA","Silver Spring, MD, USA",1,0.28
"2023 Soil Health Conference","Thief River Falls","MN","USA","Thief River Falls, MN, USA",1,0.28
"2023 Soil Health Conference","Waldron","IN","USA","Waldron, IN, USA",1,0.28
"2023 Soil Health Conference","Warrenton","MO","USA","Warrenton, MO, USA",1,0.28
"2023 Soil Health Conference","Waterloo","IL","USA","Waterloo, IL, USA",1,0.28
"2023 Soil Health Conference","West Fargo","ND","USA","West Fargo, ND, USA",1,0.28
"2023 Soil Health Conference","White Lake","SD","USA","White Lake, SD, USA",1,0.28
"2023 Soil Health Conference","Windom","MN","USA","Windom, MN, USA",1,0.28
"2023 Soil Health Conference","Winkler","MB","Canada","Winkler, MB, Canada",1,0.28
"2023 Soil Health Conference","Wolsey","SD","USA","Wolsey, SD, USA",1,0.28
"2023 Soil Health Conference","Wood","SD","USA","Wood, SD, USA",1,0.28
"2024 Soil Health Conference","Wentworth","SD","USA","Wentworth, SD, USA",59,19.22
"2024 Soil Health Conference","","","USA",", , USA",51,16.61
"2024 Soil Health Conference","St Louis","MO","USA","St Louis, MO, USA",28,9.12
"2024 Soil Health Conference","Omaha","NE","USA","Omaha, NE, USA",15,4.89
"2024 Soil Health Conference","Rapid City","SD","USA","Rapid City, SD, USA",15,4.89
"2024 Soil Health Conference","Brookings","SD","USA","Brookings, SD, USA",11,3.58
"2024 Soil Health Conference","Portland","OR","USA","Portland, OR, USA",11,3.58
"2024 Soil Health Conference","Denver","CO","USA","Denver, CO, USA",7,2.28
"2024 Soil Health Conference","Pierre","SD","USA","Pierre, SD, USA",7,2.28
"2024 Soil Health Conference","Sioux Falls","SD","USA","Sioux Falls, SD, USA",6,1.95
"2024 Soil Health Conference","Spearfish","SD","USA","Spearfish, SD, USA",6,1.95
"2024 Soil Health Conference","","ND","USA",", ND, USA",4,1.3
"2024 Soil Health Conference","Aurora","SD","USA","Aurora, SD, USA",4,1.3
"2024 Soil Health Conference","Custer","SD","USA","Custer, SD, USA",4,1.3
"2024 Soil Health Conference","Chicago","IL","USA","Chicago, IL, USA",3,0.98
"2024 Soil Health Conference","Hot Springs","SD","USA","Hot Springs, SD, USA",3,0.98
"2024 Soil Health Conference","Lemmon","SD","USA","Lemmon, SD, USA",3,0.98
"2024 Soil Health Conference","Platte","SD","USA","Platte, SD, USA",3,0.98
"2024 Soil Health Conference","","IL","USA",", IL, USA",2,0.65
"2024 Soil Health Conference","","KS","USA",", KS, USA",2,0.65
"2024 Soil Health Conference","Bison","SD","USA","Bison, SD, USA",2,0.65
"2024 Soil Health Conference","Canova","SD","USA","Canova, SD, USA",2,0.65
"2024 Soil Health Conference","Lake Norden","SD","USA","Lake Norden, SD, USA",2,0.65
"2024 Soil Health Conference","Midland","SD","USA","Midland, SD, USA",2,0.65
"2024 Soil Health Conference","New Underwood","SD","USA","New Underwood, SD, USA",2,0.65
"2024 Soil Health Conference","Pine Ridge","SD","USA","Pine Ridge, SD, USA",2,0.65
"2024 Soil Health Conference","Seattle","WA","USA","Seattle, WA, USA",2,0.65
"2024 Soil Health Conference","Sundance","WY","USA","Sundance, WY, USA",2,0.65
"2024 Soil Health Conference","Turtle Lake","ND","USA","Turtle Lake, ND, USA",2,0.65
"2024 Soil Health Conference","Whitewood","SD","USA","Whitewood, SD, USA",2,0.65
"2024 Soil Health Conference","","NE","USA",", NE, USA",1,0.33
"2024 Soil Health Conference","Alexandria","MN","USA","Alexandria, MN, USA",1,0.33
"2024 Soil Health Conference","Alexandria","VA","USA","Alexandria, VA, USA",1,0.33
"2024 Soil Health Conference","Ames","IA","USA","Ames, IA, USA",1,0.33
"2024 Soil Health Conference","Belle Fourche","SD","USA","Belle Fourche, SD, USA",1,0.33
"2024 Soil Health Conference","Blunt","SD","USA","Blunt, SD, USA",1,0.33
"2024 Soil Health Conference","Breckenridge","CO","USA","Breckenridge, CO, USA",1,0.33
"2024 Soil Health Conference","Britton","SD","USA","Britton, SD, USA",1,0.33
"2024 Soil Health Conference","Canistota","SD","USA","Canistota, SD, USA",1,0.33
"2024 Soil Health Conference","Casper","WY","USA","Casper, WY, USA",1,0.33
"2024 Soil Health Conference","Cloquet","MN","USA","Cloquet, MN, USA",1,0.33
"2024 Soil Health Conference","Corte Madera","CA","USA","Corte Madera, CA, USA",1,0.33
"2024 Soil Health Conference","Curtis","NE","USA","Curtis, NE, USA",1,0.33
"2024 Soil Health Conference","Delhi","DL","IN","Delhi, DL, IN",1,0.33
"2024 Soil Health Conference","Dell Rapids","SD","USA","Dell Rapids, SD, USA",1,0.33
"2024 Soil Health Conference","Des Moines","IA","USA","Des Moines, IA, USA",1,0.33
"2024 Soil Health Conference","Fort Collins","CO","USA","Fort Collins, CO, USA",1,0.33
"2024 Soil Health Conference","Fort Pierre","SD","USA","Fort Pierre, SD, USA",1,0.33
"2024 Soil Health Conference","Garretson","SD","USA","Garretson, SD, USA",1,0.33
"2024 Soil Health Conference","Grand Island","NE","USA","Grand Island, NE, USA",1,0.33
"2024 Soil Health Conference","Groton","SD","USA","Groton, SD, USA",1,0.33
"2024 Soil Health Conference","Hong Kong","HCW","HK","Hong Kong, HCW, HK",1,0.33
"2024 Soil Health Conference","Huron","SD","USA","Huron, SD, USA",1,0.33
"2024 Soil Health Conference","Hyderabad","TG","IN","Hyderabad, TG, IN",1,0.33
"2024 Soil Health Conference","Kutztown","PA","USA","Kutztown, PA, USA",1,0.33
"2024 Soil Health Conference","Kyiv","30","UA","Kyiv, 30, UA",1,0.33
"2024 Soil Health Conference","Lower Brule","SD","USA","Lower Brule, SD, USA",1,0.33
"2024 Soil Health Conference","Mobridge","SD","USA","Mobridge, SD, USA",1,0.33
"2024 Soil Health Conference","Mount Vernon","SD","USA","Mount Vernon, SD, USA",1,0.33
"2024 Soil Health Conference","Newark","DE","USA","Newark, DE, USA",1,0.33
"2024 Soil Health Conference","Orangeville","IL","USA","Orangeville, IL, USA",1,0.33
"2024 Soil Health Conference","Parker","SD","USA","Parker, SD, USA",1,0.33
"2024 Soil Health Conference","Parkston","SD","USA","Parkston, SD, USA",1,0.33
"2024 Soil Health Conference","Philip","SD","USA","Philip, SD, USA",1,0.33
"2024 Soil Health Conference","Piedmont","SD","USA","Piedmont, SD, USA",1,0.33
"2024 Soil Health Conference","Springdale","AR","USA","Springdale, AR, USA",1,0.33
"2024 Soil Health Conference","Superior","NE","USA","Superior, NE, USA",1,0.33
"2024 Soil Health Conference","Volga","SD","USA","Volga, SD, USA",1,0.33
"2024 Soil Health Conference","Wall","SD","USA","Wall, SD, USA",1,0.33
"2024 Soil Health Conference","Watertown","SD","USA","Watertown, SD, USA",1,0.33
"2024 Soil Health Conference","Webster","SD","USA","Webster, SD, USA",1,0.33
"2024 Soil Health Conference","White River","SD","USA","White River, SD, USA",1,0.33
"2024 Soil Health Conference","Williston","ND","USA","Williston, ND, USA",1,0.33
"2025 Soil Health Conference","Webster","SD","USA","Webster, SD, USA",40,10.23
"2025 Soil Health Conference","","","USA",", , USA",37,9.46
"2025 Soil Health Conference","Brookings","SD","USA","Brookings, SD, USA",37,9.46
"2025 Soil Health Conference","Oacoma","SD","USA","Oacoma, SD, USA",29,7.42
"2025 Soil Health Conference","Saint Paul","MN","USA","Saint Paul, MN, USA",27,6.91
"2025 Soil Health Conference","Clear Lake","SD","USA","Clear Lake, SD, USA",25,6.39
"2025 Soil Health Conference","Salem","SD","USA","Salem, SD, USA",24,6.14
"2025 Soil Health Conference","Watertown","SD","USA","Watertown, SD, USA",16,4.09
"2025 Soil Health Conference","Omaha","NE","USA","Omaha, NE, USA",14,3.58
"2025 Soil Health Conference","Gary","SD","USA","Gary, SD, USA",11,2.81
"2025 Soil Health Conference","Sioux Falls","SD","USA","Sioux Falls, SD, USA",9,2.3
"2025 Soil Health Conference","Gettysburg","SD","USA","Gettysburg, SD, USA",7,1.79
"2025 Soil Health Conference","Groton","SD","USA","Groton, SD, USA",5,1.28
"2025 Soil Health Conference","Parkston","SD","USA","Parkston, SD, USA",5,1.28
"2025 Soil Health Conference","Sisseton","SD","USA","Sisseton, SD, USA",5,1.28
"2025 Soil Health Conference","Kansas City","MO","USA","Kansas City, MO, USA",4,1.02
"2025 Soil Health Conference","Bismarck","ND","USA","Bismarck, ND, USA",3,0.77
"2025 Soil Health Conference","Flandreau","SD","USA","Flandreau, SD, USA",3,0.77
"2025 Soil Health Conference","Highmore","SD","USA","Highmore, SD, USA",3,0.77
"2025 Soil Health Conference","Madison","MN","USA","Madison, MN, USA",3,0.77
"2025 Soil Health Conference","Milbank","SD","USA","Milbank, SD, USA",3,0.77
"2025 Soil Health Conference","Onida","SD","USA","Onida, SD, USA",3,0.77
"2025 Soil Health Conference","Osage","IA","USA","Osage, IA, USA",3,0.77
"2025 Soil Health Conference","Rapid City","SD","USA","Rapid City, SD, USA",3,0.77
"2025 Soil Health Conference","Redfield","SD","USA","Redfield, SD, USA",3,0.77
"2025 Soil Health Conference","","IA","USA",", IA, USA",2,0.51
"2025 Soil Health Conference","","MO","USA",", MO, USA",2,0.51
"2025 Soil Health Conference","","ND","USA",", ND, USA",2,0.51
"2025 Soil Health Conference","Alice","ND","USA","Alice, ND, USA",2,0.51
"2025 Soil Health Conference","Aurora","SD","USA","Aurora, SD, USA",2,0.51
"2025 Soil Health Conference","Biloxi","MS","USA","Biloxi, MS, USA",2,0.51
"2025 Soil Health Conference","Brandt","SD","USA","Brandt, SD, USA",2,0.51
"2025 Soil Health Conference","Clear Lake","MN","USA","Clear Lake, MN, USA",2,0.51
"2025 Soil Health Conference","Denver","CO","USA","Denver, CO, USA",2,0.51
"2025 Soil Health Conference","Enderlin","ND","USA","Enderlin, ND, USA",2,0.51
"2025 Soil Health Conference","Fargo","ND","USA","Fargo, ND, USA",2,0.51
"2025 Soil Health Conference","Hot Springs","SD","USA","Hot Springs, SD, USA",2,0.51
"2025 Soil Health Conference","Leola","SD","USA","Leola, SD, USA",2,0.51
"2025 Soil Health Conference","Minneapolis","MN","USA","Minneapolis, MN, USA",2,0.51
"2025 Soil Health Conference","Nunda","SD","USA","Nunda, SD, USA",2,0.51
"2025 Soil Health Conference","Pierre","SD","USA","Pierre, SD, USA",2,0.51
"2025 Soil Health Conference","Platte","SD","USA","Platte, SD, USA",2,0.51
"2025 Soil Health Conference","Springfield","MO","USA","Springfield, MO, USA",2,0.51
